LEA_NAME	ST	ADDRESS	WEBSITE_CCD	SY_STATUS	OPERATIONAL_SCHOOLS	LEA_TYPE	LEA_TYPE_TEXT	CHARTER_LEA_TEXT	AGCHRT	SURVYEAR
Bay County PSA	MI	"1110 STATE ST, BAY CITY, MI 48706 "	www.baycountypsa.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Bay Point Center	AL	"5800 Southland Drive, Mobile, AL 36693 "		1	0	5	State agency providing elementary and/or secondary level instruction	State does not have charters or state does not permit charter LEAs	N	2015
Bay-Arenac Community High School	MI	"805 Langstaff St, Essexville, MI 48732 "	bachs.us	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Baystate Academy Charter Public School (District)	MA	"2001 Roosevelt Avenue, Springfield, MA 1104 "	www.bacps.net	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
BDOTE LEARNING CENTER	MN	"3216 E 29TH STREET, MINNEAPOLIS, MN 55406 "	http://www.bdotelearningcenter.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Beacon Academy	IN	"620 Cumberland Ave, West Lafayette, IN 47906 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
BEACON ACADEMY	MN	"9060 ZANZIBAR LN N, MAPLE GROVE, MN 55311 "	http://www.beaconacademy.com	1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Beacon Academy	OH	"1379 Garfield Ave SW, Canton, OH 44706 "		3	1	7	Independent charter district	LEA for federal programs		2016
Beacon Charter School	RI	"320 Main Street, Woonsocket, RI 2895 "		1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Beacon Hill Academy	OH	"10470 Winesburg Rd, Dundee, OH 44624 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Bear Creek Community CS	PA	"2000 Bear Creek Blvd, Wilkes-Barre, PA 18702 "	http://www.bearcreekschool.com	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Bear Grass Charter School	NC	"6344 E Bear Grass Rd, Williamston, NC 27982 "	www.beargrasscharter.org/	1	1	7	Independent Charter District	An LEA for programs authorized under IDEA but not under ESEA and Perkins	1	2015
BEAR RIVER CHARTER SCHOOL	UT	"75 S 400 W, LOGAN, UT 84321 "	http://www.brcs-logan.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Beardstown CUSD 15	IL	"500 E 15th St, Beardstown, IL 62618 "		1	4	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
BEATRICE MAYES INSTITUTE CHARTER SCHOOL	TX	"5807 CALHOUN, HOUSTON, TX 77021 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Beaufort 01	SC	"2900 Mink Point Boulevard, Beaufort, SC 29902 "		1	32	1	Regular local school district that is NOT a component of a supervisory union	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	2	2015
Beaumont Unified	CA	"350 W. Brookside, Beaumont, CA 92223 "	www.beaumontusd.k12.ca.us	1	13	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Beaver Cove Public Schools	ME	"130 Pritham Ave., Greenville, ME 4441 "	http://www.ghslakers.org	1	0	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	N	2015
Beaver Valley IU 27	PA	"147 Poplar Avenue, Monaca, PA 15061 "	http://www.bviu.org	1	0	4	Regional Education Service Agency (RESA)	State has charter LEAs but this LEA is not a charter LEA	N	2015
Beaverton SD 48J	OR	"16550 SW Merlo Rd, Beaverton, OR 97003 "	www.beaverton.k12.or.us	1	53	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Beddington Public Schools	ME	"1020 Sacarap Road, Harrington, ME 4643 "	www.msad37.org	1	0	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	N	2015
Bedford SAU Office	NH	"103 County Rd., Bedford, NH 3110 "		1	0	3	Supervisory union administrative center (or county superintendent's office serving the same purpose)	State has charter LEAs but this LEA is not a charter LEA	N	2015
BEDFORD STUYVESANT COLLEGIATE CHARTER SCHOOL	NY	"800 GATES AVE-4TH FL, BROOKLYN, NY 11221 "	www.bedstuycollegiate.uncommonschools.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL	NY	"82 LEWIS AVE, BROOKLYN, NY 11206 "	www.bsnbcs.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
BEEBE SCHOOL DISTRICT	AR	"1201 W CENTER ST, BEEBE, AR 72012 "	http://badger.k12.ar.us	1	7	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
BEEHIVE SCIENCE & TECHNOLOGY ACADEMY (BSTA)	UT	"830 E 9400 S, SANDY, UT 84094 "	http://www.beehiveacademy.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
BEGINNING WITH CHILDREN CHARTER SCHOOL	NY	"185 ELLERY ST, BROOKLYN, NY 11206 "	www.bwccschool.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
BEGINNING WITH CHILDREN CHARTER SCHOOL II	NY	"215 HEYWARD ST, BROOKLYN, NY 11206 "	www.bwccs2.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
Bell Canyon Charter School  Inc	AZ	"18052 North Black Canyon Highw, Phoenix, AZ 85053 "	www.ImagineBellCanyon.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Bella Academy of Excellence	OH	"19114 Bella Dr, Cleveland, OH 44119 "	www.imaginebellaacademy.com	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Belle Chasse Academy Inc.	LA	"100 Fifth St. NAS-JRB, Belle Chasse, LA 70037 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Bellevue Union Elementary	CA	"3150 Ed Dr., Santa Rosa, CA 95407 "	www.busd.org/	1	5	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Belmont Charter School	PA	"4030 Brown St, Philadelphia, PA 19104 "	http://www.cea-philly.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Beloit School District	WI	"1633 Keeler Ave, Beloit, WI 53511 "	www.sdb.k12.wi.us	1	17	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
BelovED Community Charter School	NJ	"508 Grand Street, Jersey City, NJ 7302 "	www.belovedccs.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Benchmark School  Inc.	AZ	"4120 E. Acoma Drive, Phoenix, AZ 85032 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Bend-LaPine Administrative SD 1	OR	"520 NW Wall St, Bend, OR 97703 "	www.bend.k12.or.us	1	31	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Benjamin Banneker Charter Public (District)	MA	"21 Notre Dame Avenue, Cambridge, MA 2140 "	www.banneker.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Benjamin Banneker Preparatory Charter School	NJ	"300 Willingboro Way, Willingboro, NJ 8046 "	www.bannekerprep.com	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Benjamin Franklin Charter School	AZ	"690 E. Warner Rd., Gilbert, AZ 85296 "	www.benjaminfranklincharterschool.com	1	5	7	Independent Charter District	A charter district which is not an LEA for any federal program.	1	2015
Benjamin Franklin Classical Charter Public (District)	MA	"201 Main Street, Franklin, MA 2038 "	www.bfccps.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Bennett Venture Academy	OH	"5130 Bennett Road, Toledo, OH 43612 "	http://www.heritageacademies.com	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Benson Unified School District	AZ	"360 S. Patagonia Street, Benson, AZ 85602 "	www.bensonsd.k12.az.us	1	5	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Bentley Academy Charter School (District)	MA	"25 Memorial Drive, Salem, MA 1970 "	www.bentleyacademy.org	3	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
BENTON COUNTY SCHOOL OF ARTS	AR	"2005 S 12TH ST, ROGERS, AR 72758 "	http://www.bcsa.k12.ar.us	1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Benton Harbor Charter School Academy	MI	"455 Riverview Dr, Benton Harbor, MI 49022 "	www.bentonharborcharter.com	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Benton School District	NH	"2975 Dartmouth College Hwy., N. Haverhill, NH 3774 "		1	0	2	Local school district that is a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	N	2015
Bergen Arts and Sciences Charter School	NJ	"200 MacArthur Ave, Garfield, NJ 7026 "	www.bergencharter.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Berkeley Unified	CA	"2020 Bonar St., Berkeley, CA 94702 "	www.berkeleyschools.net	1	19	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Berks County IU 14	PA	"1111 Commons Blvd, Reading, PA 19605 "	http://www.berksiu.org	1	0	4	Regional Education Service Agency (RESA)	State has charter LEAs but this LEA is not a charter LEA	N	2015
Berkshire Arts and Technology Charter Public (District)	MA	"1 Commercial Pl, Adams, MA 1220 "	www.bartcharter.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Berlin SAU Office	NH	"183 Hillside Ave., Berlin, NH 3570 "	http://sau3.org/	1	0	3	Supervisory union administrative center (or county superintendent's office serving the same purpose)	State has charter LEAs but this LEA is not a charter LEA	N	2015
Berrien County	GA	"100 E. Smith Ave., Nashville, GA 31639 "	www.berrien.k12.ga.us	1	5	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Berwyn East Academy	OH	"1850 Bostwick Rd, Columbus, OH 43227 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
BEST ACADEMY	MN	"1300 OLSON MEMORIAL HWY, GOLDEN VALLEY, MN 55411 "	http://www.thebestacademy.org	1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
BETA ACADEMY	TX	"9701 ALMEDA GENOA RD, HOUSTON, TX 77075 "		3	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Bethany Community Middle	NC	"181 Bethany Road, Reidsville, NC 27320 "	www.bcmschool.com	1	1	7	Independent Charter District	An LEA for programs authorized under IDEA but not under ESEA and Perkins	1	2015
Bethel Hill Charter	NC	"401 Bethel Hill School Rd, Roxboro, NC 27574 "	esinc.net/bhcs	1	1	7	Independent Charter District	An LEA for programs authorized under IDEA but not under ESEA and Perkins	1	2015
BETTER LEARNING COMM ACADEMY	MO	"2153 SALISBURY ST. STE. C, ST. LOUIS, MO 63107 "	www.blcacademy.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Betty Shabazz  Internl Chrtr Sch	IL	"7823 S Ellis Ave, Chicago, IL 60619 "		3	2	7	Independent charter district	LEA for federal programs		2016
BEXAR COUNTY ACADEMY	TX	"1493 SAN ANTONIO DR, SAN ANTONIO, TX 78228 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
BGLIG-SHIRLEY RODRIQUEZ-REMENESKI CS	NY	"750 CONCOURSE VILLAGE W-LOWER, BRONX, NY 10451 "	www.bgligschool.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
Bibb County	GA	"484 Mulberry St, Macon, GA 31201 "	www.bibb.k12.ga.us	1	48	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Big Picture Twin Cities	MN	"7729 UNITY AVE. N, MINNEAPOLIS, MN 55443 "		7	0	7	Independent charter district	LEA for federal programs		2016
BIG SPRINGS CHARTER SCHOOL	TX	"10664 N US HWY 83, LEAKY, TX 78873 "	www.bigspringscharterschool.com	1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Big Sur Unified	CA	"69325 Highway 1, Big Sur, CA 93920 "	http://bigsurunified.org	1	2	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Billings Education Line Office	BI	"316 North 26th Street, Billings, MT 59101 "		1	0	4	Regional Education Service Agency (RESA)	State does not have charters or state does not permit charter LEAs	N	2015
BIRCH GROVE COMMUNITY SCHOOL	MN	"9 GOOD NEIGHBOR HILL RD STE B, TOFTE, MN 55615 "	www.birchgroveschool.com	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Birchwood School District	WI	"300 S Wilson St, Birchwood, WI 54817 "	www.birchwood.k12.wi.us	1	6	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Birney Preparatory Academy	PA	"900 W Lindley Avenue, Philadelphia, PA 19141 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Blachly SD 90	OR	"20264 Blachly Grange Rd, Blachly, OR 97412 "	www.blachly.k12.or.us	1	1	7	Independent Charter District	A charter district which is not an LEA for any federal program.	1	2015
Black Oak Mine Unified	CA	"6540 Wentworth Springs Rd., Georgetown, CA 95634 "	www.bomusd.org	1	6	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Black River Public School	MI	"491 COLUMBIA AVE, HOLLAND, MI 49423 "	www.BlackRiverPublicSchool.org	1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
BLACKFOOT CHARTER COMMUNITY LEARNING CENTER	ID	"2801 HUNTERS LOOP, BLACKFOOT, ID 83221 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Blackstone Academy	RI	"334 Pleasant Street, Pawtucket, RI 2860 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Blackstone Valley Prep A RI Mayoral Academy	RI	"291 Broad St., Cumberland, RI 2864 "		1	5	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Blair-Taylor School District	WI	"N31024 Elland Rd, Blair, WI 54616 "	btsd.k12.wi.us	1	3	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Blanche Kelso Bruce Academy	MI	"8045 2nd Ave, Detroit, MI 48202 "		1	5	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
BLaST IU 17	PA	"2400 Reach Rd, Williamsport, PA 17701 "	http://www.iu17.org	1	0	4	Regional Education Service Agency (RESA)	State has charter LEAs but this LEA is not a charter LEA	N	2015
Blended Learning Academies Credit Recovery High School	MI	"1754 E Clark Rd, Lansing, MI 48906 "	www.blendedacademies.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Blochman Union Elementary	CA	"4949 Foxen Canyon Rd., Santa Maria, CA 93454 "		1	3	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Bloomington Area Career Center	IL	"1202 E Locust St, Bloomington, IL 61701 "		1	0	4	Regional Education Service Agency (RESA)	State has charter LEAs but this LEA is not a charter LEA	N	2015
BLP Schs Self-Inc. Workers Compensation	CA	"15110 S. California St., Paramount, CA 90723 "		1	0	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	N	2015
Blue Adobe Project	AZ	"6000 E. 14th St., Tucson, AZ 85711 "	www.skyislands.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Blue Water Middle College	MI	"323 Erie Street, Port Huron, MI 48060 "	www.sccresa.org/bwmc	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Blueprint Education	AZ	"5651 W. Talavi Blvd., Glendale, AZ 85306 "		1	3	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
BLUESKY CHARTER SCHOOL	MN	"33 WENTWORTH AVE E STE #100, WEST SAINT PAUL, MN 55118 "	http://www.blueskyschool.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
BLUFFVIEW MONTESSORI	MN	"1321 GILMORE AVE, WINONA, MN 55987 "	http://www.bluffviewmontessori.org/	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
BLYTHEVILLE SCHOOL DISTRICT	AR	"405 W PARK ST, BLYTHEVILLE, AR 72315 "	http://bythevilleschools.com	1	4	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
BMP Tri County Special Ed Coop	IL	"PO Box 239, Tiskilwa, IL 61368 "		1	0	4	Regional Education Service Agency (RESA)	State has charter LEAs but this LEA is not a charter LEA	N	2015
BOB HOPE SCHOOL	TX	"2849 9TH AVE, PORT ARTHUR, TX 77642 "	www.bobhopeschool.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
BOISE INDEPENDENT DISTRICT	ID	"8169 W VICTORY RD, BOISE, ID 83709 "		1	51	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
BOLD KIDS AFTER SCHOOL PROG	NC	"2425C Westinghouse Road, Charlotte, NC 28273 "		1	0	8	Other education agencies	State has charter LEAs but this LEA is not a charter LEA	N	2015
Bond Fayette Effingham EFE 410	IL	"1109 N 8th St, Vandalia, IL 62471 "		1	0	4	Regional Education Service Agency (RESA)	State has charter LEAs but this LEA is not a charter LEA	N	2015
BONNEVILLE ACADEMY	UT	"PRIVATE: 6563 Sky Heights Driv, STANSBURY PARK, UT 84074 "		7	0	7	Independent charter district	LEA for federal programs		2016
Bonsall Unified	CA	"31505 Old River Rd., Bonsall, CA 92003 "	www.bonsallusd.com	1	6	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Booker T Washington Academy D	CT	"246 Dixwell Avenue, New Haven, CT 6511 "		1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
Borrego Springs Unified	CA	"2281 Diegueno Rd., Borrego Springs, CA 92004 "		1	8	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Boston Collegiate Charter (District)	MA	"11 Mayhew Street, Dorchester, MA 2125 "	www.bostoncollegiate.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Boston Day and Evening Academy Charter (District)	MA	"20 Kearsarge Ave, Roxbury, MA 2119 "	www.bacademy.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Boston Green Academy Horace Mann Charter School (District)	MA	"20 Warren St., Brighton, MA 2135 "	www.bostongreenacademy.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Boston Preparatory Charter Public (District)	MA	"1286 Hyde Park Avenue, Hyde Park, MA 2136 "	www.bostonprep.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Boston Renaissance Charter Public (District)	MA	"1415 Hyde Park Ave, Hyde Park, MA 2136 "	www.bostonrenaissance.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
BOULDER RE-1J ST VRAIN	CO	"395 South Pratt Pkwy, Longmont, CO 80501 "		1	0	4	Regional Education Service Agency (RESA)	State has charter LEAs but this LEA is not a charter LEA	N	2015
BOULDER RE-2 BOULDER	CO	"6500 East Arapahoe Road, Boulder, CO 80303 "		1	0	4	Regional Education Service Agency (RESA)	State has charter LEAs but this LEA is not a charter LEA	N	2015
Boulder Valley School District No. Re2	CO	"6500 ARAPAHOE ROAD, BOULDER, CO 80303 "	www.bvsd.org	1	57	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Bow SAU Office	NH	"32 White Rock Hill Rd., Bow, NH 3304 "		1	0	3	Supervisory union administrative center (or county superintendent's office serving the same purpose)	State has charter LEAs but this LEA is not a charter LEA	N	2015
Bowerbank Public Schools	ME	"24 Hayes Road, Parkman, ME 4443 "		1	0	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	N	2015
Boys & Girls Clubs of the East Valley dba Mesa Arts Academy	AZ	"221 West Sixth Avenue, Mesa, AZ 85210 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Boys Latin of Philadelphia CS	PA	"5501 Cedar Avenue, Philadelphia, PA 19143 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
BOYS PREP CHARTER SCHOOL OF NEW YORK	NY	"1695 SEWARD AVE, BRONX, NY 10473 "	www.publicprep.org	5	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
Bradford Academy	MI	"24218 Garner St, Southfield, MI 48033 "	www.bradfordacademy.com/	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Bradford Preparatory School	NC	"2502 Salome Church Rd, Charlotte, NC 28262 "	http://www.bradfordprepschool.org	1	1	7	Independent Charter District	An LEA for programs authorized under IDEA but not under ESEA and Perkins	1	2015
Bradley Academy of Excellence  Inc.	AZ	"16060 W. Lower Buckeye Parkway, Goodyear, AZ 85338 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Branch Line School	MI	"16360 Hubbard St, Livonia, MI 48154 "	www.branchlineschool.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Brass City Charter School Dis	CT	"33 Wolcott Street, Waterbury, CT 6702 "	brasscity.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
BRAZOS RIVER CHARTER SCHOOL	TX	"FM 200 AND FM 199, NEMO, TX 76070 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY	TX	"410 BETHEL LN, BRYAN, TX 77802 "		1	3	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Breakthrough Montessori PCS	DC	"1244 Taylor St NW, Washington, DC 20011 "	http://www.breakthroughmontessori.org/	3	1	7	Independent charter district	LEA for federal programs		2016
Bremen Public Schools	ME	"767 Main Street 1-A, Damariscotta, ME 4543 "	http://www.aos93.org	1	0	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	N	2015
BREVARD	FL	"2700 JUDGE FRAN JAMIESON WAY, VIERA, FL 32940 "	http://www.brevardschools.org	1	124	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Brevard Academy	NC	"299 Andante Lane, Brevard, NC 28712 "	www.brevardacademy.org/	1	1	7	Independent Charter District	An LEA for programs authorized under IDEA but not under ESEA and Perkins	1	2015
Brewers Porch Childrens Center	AL	"2501 Woodland Rd, Tuscaloosa, AL 35487 "		1	0	5	State agency providing elementary and/or secondary level instruction	State does not have charters or state does not permit charter LEAs	N	2015
Bridge Academy	MI	"9600 BUFFALO ST, HAMTRAMCK, MI 48212 "		1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Bridge Boston Charter School (District)	MA	"2 McLellan Street, Dorchester, MA 2121 "	www.bridgebostoncharterschool.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Bridge Gate Community School	OH	"4060 Sullivant Ave, Columbus, OH 43228 "		3	1	7	Independent charter district	LEA for federal programs		2016
Bridgeport Achievement First	CT	"365 East Washington Avenue, Bridgeport, CT 6608 "		1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
Bridges Academy	NC	"2587 Pleasant Ridge Road, State Road, NC 28676 "	www.bridgesschoolyadkinvalley.org	1	1	7	Independent Charter District	An LEA for programs authorized under IDEA but not under ESEA and Perkins	1	2015
Bridges Community Academy	OH	"190 St Francis Ave, Tiffin, OH 44883 "	http://www.bridgescommunityacademy.com	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Bridges PCS	DC	"1250 Taylor St NW, Washington, DC 20011 "	www.bridgespcs.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Bridgeton Public Charter School	NJ	"790 E. Commerce Street, Bridgeton, NJ 8302 "	www.bridgetonpubliccharterschool.org	3	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Bridgewater Public Schools	ME	"33 Bangor Road, Easton, ME 4740 "		1	0	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	N	2015
Bright Beginnings School  Inc.	AZ	"400 N. Andersen Blvd., Chandler, AZ 85224 "	www.bbschl.com	1	1	7	Independent Charter District	A charter district which is not an LEA for any federal program.	1	2015
BRIGHT WATER ELEMENTARY	MN	"5140 FREMONT AVE N, MINNEAPOLIS, MN 55430 "	http://www.brightwatermontessori.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS	NY	"116 N LAKE AVE, ALBANY, NY 12206 "	www.brighterchoice.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS	NY	"250 CENTRAL AVE, ALBANY, NY 12206 "	www.brighterchoice.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
Brighton Plt School Department	ME	"72 Dinsmore Rd, Anson, ME 4911 "		1	0	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	N	2015
